"21:25  13d.04m.24y"
"Name MC MP"
"Bitcoin (Биткоин)  ₽6,3...73.50   54.4%"
"Ethereum (Эфириум)  ₽304,851.17   16.0%"
"Tether (Тезер)  ₽93.34   4.4%"
"BNB  ₽54,949.63   3.6%"
"Solana (Солана)  ₽13,786.94   2.7%"
"USDC  ₽93.32   1.3%"
"XRP  ₽50.35   1.2%"
"Dogecoin (Догекоин)  ₽15.73   1.0%"
"Toncoin (Тонкоин)  ₽616.63   0.9%"
"Cardano (Кардано)  ₽46.73   0.7%"

"21:26  13d.04m.24y"
"Name MC MP"
"Bitcoin (Биткоин)  ₽6,3...73.50   54.4%"
"Ethereum (Эфириум)  ₽304,851.17   16.0%"
"Tether (Тезер)  ₽93.34   4.4%"
"BNB  ₽54,949.63   3.6%"
"Solana (Солана)  ₽13,786.94   2.7%"
"USDC  ₽93.32   1.3%"
"XRP  ₽50.35   1.2%"
"Dogecoin (Догекоин)  ₽15.73   1.0%"
"Toncoin (Тонкоин)  ₽616.63   0.9%"
"Cardano (Кардано)  ₽46.73   0.7%"

"21:33  13d.04m.24y"
"Name MC MP"
"Bitcoin (Биткоин)  ₽6,2...67.75   54.2%"
"Ethereum (Эфириум)  ₽303,166.96   15.9%"
"Tether (Тезер)  ₽93.35   4.4%"
"BNB  ₽54,793.36   3.6%"
"Solana (Солана)  ₽13,729.62   2.7%"
"USDC  ₽93.33   1.3%"
"XRP  ₽50.13   1.2%"
"Dogecoin (Догекоин)  ₽15.63   1.0%"
"Toncoin (Тонкоин)  ₽616.14   0.9%"
"Cardano (Кардано)  ₽46.60   0.7%"

